"","habit","dissection","morphotype","glands","hairs","gemmae","SLA","stipe","length","width","rhizome","pinna"
"Microsorum_sp1",0,NA,"strap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microsorum_xmaximum",0,2,"strap",NA,0,0,20.41668,1.217,36.582,3.741,0.877,1
"Nephrolepis_biserrata",0,3,"cordate",1,0,0,18.31936,20.302,98.599,14.4365,0.4,20
"Nephrolepis_cordifolia",0,3,"cordate",1,0,0,9.67343,8.301,38.8,4.632,0.75,30
"Nephrolepis_exaltata",0,3,"cordate",1,0,0,NA,NA,NA,NA,NA,NA
"Nephrolepis_hirsutula",0,3,"cordate",1,0,0,44.99124,19.64633,70.51867,9.48567,1.078,43.33333
"Oleandra_sibbaldii",1,1,"cordate",1,0,0,33.98502,3.9225,34.897,3.18,0.41,1
"Ophioglossum_falcatum",1,1,"tuber",0,0,0,23.52817,3.677,36.2435,2.3915,0.325,1
"Ophioglossum_pendulum",1,1,"tuber",0,0,0,19.57249,4.23533,91.05667,3.25967,0.45,1
"Oreogrammitis_raiateensis",1,1,"strap",NA,NA,NA,32.78677,0.465,5.178,0.5435,0.292,1
"Paesia_divaricatissima",0,8,"cordate",0,0,0,8.92143,76.055,56.1,35.73133,0.311,7
"Pityrogramma_calomelanos",0,4,"cordate",0,0,0,NA,24.98,68.206,11.806,1.136,18
"Plesioneuron_attenuatum",0,4,"cordate",1,0,0,35.63604,53.667,128.787,27.84,1.786,22
"Plesioneuron_sp1",0,4,"cordate",NA,NA,0,38.96484,20.562,49.757,10.814,1.7,15
"Pneumatopteris_mesocarpa",0,4,"cordate",1,0,0,32.69819,76.531,144.10033,25.91667,1.97867,27
"Polyphlebium_borbonicum",1,10,"filament",0,0,1,36.9616,3.2485,9.171,4.1735,0.0885,6.5
"Polyphlebium_endlicherianum",1,10,"filament",0,0,1,38.43785,0.876,4.9815,1.199,0.0525,4.5
"Prosaptia_contigua",1,2,"strap",0,1,0,13.80418,4.359,26.34033,2.82,0.55,55
"Psilotum_complanatum",1,1,"tuber",0,0,0,9.50825,0.1,155.3255,0.424,0.212,1
"Psilotum_nudum",1,1,"tuber",0,0,0,NA,0.1,30,0.2,0.7,1
"Pteris_comans",0,7,"cordate",NA,NA,0,39.19376,50,100,40,NA,2
"Pteris_ensiformis",0,5,"cordate",0,0,0,30.71905,11.073,27.613,6.682,0.7,5
"Pteris_mertensioides",0,5,"cordate",NA,NA,0,26.71696,80,200,48,NA,14
"Pteris_tripartita",0,8,"cordate",0,0,0,54.92073,79.285,132.042,58.613,NA,1
"Ptisana_salicina",0,5,"cordate",0,0,0,15.31452,47,100,83,8,4
"Pyrrosia_serpens",1,1,"strap",1,0,0,13.61263,2.585,11.034,0.925,0.16,1
"Schizaea_dichotoma",0,3,"filament",0,0,0,57.75598,32.7485,42.8415,12.096,0.3,NA
"Selliguea_plantaginea",1,1,"strap",1,0,0,8.76558,10.4675,26.494,5.5315,0.466,1
"Sphaeropteris_medullaris",0,6,"cordate",0,1,0,22.96016,23.5,147.5,68,11,NA
"Sphaerostephanos_invisus",0,4,"cordate",1,1,0,22.43995,31.6205,100.543,24.4255,0.8,30.5
"Sphaerostephanos_subpectinatus",0,4,"cordate",1,1,0,42.88815,22.513,49.488,13.363,1.614,15
"Sphenomeris_chinensis",0,8,"cordate",0,0,0,26.17994,29.686,87.189,14.723,1.233,12
"Sticherus_tahitensis",0,5,"cordate",NA,NA,NA,10.84583,33.583,46.542,21.6865,0.25,16
"Tectaria_decurrens",0,3,"cordate",1,0,0,38.20042,38.3745,79.2585,31.639,2.753,3.5
"Tectaria_dissecta",0,6,"cordate",1,0,0,46.11147,43.6515,88.764,38.2455,1.775,8.5
"Tectaria_tahitensis",0,6,"cordate",1,0,0,49.71515,60.497,99.477,39.327,1.721,5
"Teratophyllum_wilkesianum",0,5,"strap",0,0,0,58.71247,20.774,46.443,15.6,0.607,8
"Tmesipteris_gracilis",1,1,"tuber",0,0,0,11.66435,4.2,22.9,2.48,0.212,28
"Vandenboschia_maxima",0,6,"filament",0,0,1,23.08518,10.89825,29.1725,10.545,0.33925,8.25
"Wibelia_denticulata",1,8,"cordate",1,0,0,22.24866,40,100,52,0.915,10.5
